tweetID,retweet_count,favorite_count
9733424,722,250
1773335,5637,4678
3777250,3408,3576
1344124,2487,7149
1459422,6270,9320
1634669,3341,3553
2157802,960,2140
1421163,5968,10609
3878075,9593,12413
1172772,5683,6700
5754502,6253,10113
7817700,8095,12510
9626005,511,4152
2986016,9100,11285
9077885,9964,13196
4089443,7274,12008
6058085,9676,13186
9487793,301,5290
1889068,5751,9872
4320863,5080,7529
6372286,2130,5926
7930370,9366,13232
9834588,9980,10395
9712092,4287,8887
7778321,9410,11251
8893219,2134,6881
6142143,7281,10365
2016778,7972,9530
1835881,1077,4016
1197174,1740,3413
3903229,4381,5902
9140465,1067,5541
4418739,1820,4264
7817170,9204,11654
1999903,6408,11275
8585245,7896,9142
9348110,3505,7986
9710416,2159,3976
9351377,9346,11783
3988059,4250,4984
5572733,5056,6286
8768061,3,4375
6025937,667,3171
2767972,8335,11088
4822644,1553,1946
1245764,6427,9798
7407004,5172,8444
4571503,4818,9773
7839541,7696,9047
3983634,9291,9723
3296348,3588,3941
4625873,8945,10059
4871508,3223,3312
7022022,4190,6135
3867932,4370,9269
5842606,9008,10820
8456233,6436,9105
8851230,499,3371
1306936,6878,10033
8167082,5256,6568
7130165,1892,5857
5689858,6885,10351
4010316,6258,10663
2026100,3159,5661
1515422,9355,10650
2944956,4622,7658
4016980,4539,9239
4991470,7988,8394
4487389,702,4681
9112513,2253,2993
7059127,4539,6319
4593431,1940,5276
1125083,2905,3033
3186019,110,2414
6953832,5239,6025
8993441,8088,11393
2718683,4896,9192
9334766,4367,7684
2153070,4957,9713
2910103,9393,10724
9260610,4950,8936
9255502,6272,8023
5581968,6673,7864
3454734,2729,4213
6289756,2486,3068
4940017,3234,4036
3085046,3963,4026
8879676,4771,7515
5234758,8438,10006
8980343,2986,4092
7816119,1701,2292
6270296,2635,7091
8188835,8227,11884
7329173,1435,3753
7203880,2002,4730
5612005,9425,11918
8800629,1127,5454
4521784,6842,8699
4194160,5103,6842
3630888,7124,11137
7116602,1059,3772
8216561,5998,8845
8917421,1998,2718
1096550,1820,4939
6467267,8124,8670
7647224,1340,1940
2901155,9437,9741
2184750,3230,5754
8121761,4697,9194
6920470,7771,10185
9388429,1331,5179
6556362,6,1902
6858460,2766,2810
9419996,8958,9892
3035874,6912,9542
7285284,5390,7807
1058526,7042,10492
2558112,5305,7227
5391120,8254,12538
8850164,6598,7453
8765086,2354,2629
4490925,2601,3428
9722763,5586,5994
8137948,4837,5412
4521431,9740,14042
5240345,8978,13692
4290112,9988,10280
2389549,6754,10738
4845219,8947,12840
9486375,1706,5839
5612232,4112,9034
2030221,140,2967
8975092,4427,8795
4814699,4716,5740
1020801,3400,4118
8461596,1910,3611
6395314,9266,11628
3563825,1042,1398
1442549,664,3684
1557335,9923,13011
